24 01 2021 1900
48
Cape-Reinga	186	38	20.4	16.2	990.7	1015.5
Kaitaia	203	59	20.6	17.3	1006.5	1015.5
Kerikeri	216	63	20.9	16.7	997.1	1014.7
Whangarei	239	89	22	17.3	1009.2	1013.9
Mokohinau-Islands	251	89	19.7	18	1005	1013.2
Auckland	249	133	21.9	18.2	1011.8	1012.6
Whitianga	275	128	23.2	15.2	1010.5	1011
Hamilton	261	163	21.2	14.3	1005.2	1011.3
Tauranga	288	161	24.2	13.4	1008.7	1009.1
Hicks-Bay	346	156	22.9	17	1002.1	1007.3
Port-Taharoa	246	174	20	15.2	1009.6	1012.4
Taupo	282	189	20.2	13.8	962.1	1008.8
Gisborne	339	198	25	14.7	1005.4	1005.9
New-Plymouth	228	208	18.1	14.6	1008	1011.5
Hawera	231	227	18.2	13.4	999.4	1011
Whanganui	248	239	19.4	9.5	1008.8	1009.8
Waiouru	265	214	17.2	7.9	917.5	-999
Napier	307	226	26.7	7.6	1005.2	1005.4
Mahia	336	216	25	12.1	990.5	1005.9
Palmerston-North	270	256	17.3	11.8	1003.9	1009.4
Levin	261	264	16.9	12.2	1008	1009.6
Paraparaumu	254	279	16.9	12.2	1007.9	1008.6
Wellington	246	291	17.6	12.5	1004	1005.5
Ngawi	259	302	22	8	1002.4	1003.1
Castlepoint	285	276	17.8	10.8	989.6	1003.4
Westport	158	308	17	11.1	1012.1	1012.6
Farewell-Spit	191	262	16.5	10.5	1006.7	1007.1
Nelson	202	290	21	9.2	1006	1006.6
Stephens-Island	225	265	14.9	12.3	984.5	1006.5
Cape-Campbell	231	309	16.8	13.5	1001	1001.6
Hokitika	149	330	14.8	10.4	1006.7	1012.2
Kaikoura	213	330	18.8	13.2	989.7	1002.2
Haast	90	386	12.8	12.3	1010.6	1010.7
Milford-Sound	57	417	15.6	12.7	1007.9	1008.3
Mount-Cook	118	379	15.8	4.1	930.4	-999
Tara-Hills	124	455	19.3	5.5	947.6	1002.8
Timaru	150	399	25.1	7.3	998	1001.1
Christchurch	186	374	26.2	6.8	996.7	1001
Le-Bons-Bay	198	381	21	9.7	973.9	1001
Secretary-Island	36	443	14.2	13.3	1006.7	1008.8
Puysegur-Point	32	478	13.1	11.5	1000.6	1005.8
Queenstown	84	430	21	7.2	961.1	1001.8
Invercargill	76	483	14.6	9.3	1002.6	1002.7
Nugget-Point	113	484	13.4	10	985	1000.5
Dunedin	131	462	16.9	11.8	1001.3	1001.6
South-West-Cape	55	517	10.5	7.1	988.7	1001
Enderby-Island	42	633	9.2	5.7	985.5	990.2
Campbell-Island	107	709	7.8	5.5	980	981.8
